ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
164	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BLACK	siksa	s i k s a	3 7 1 3 7	AXBCZ	SIKSA	3	3.S.C 3.I.V 3.K.C 3.S.C 3.A.V	2.0 1.5 1.75 1.5 0.8	siksa	0	21	
43	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BLOOD	aru	a r u	7 5 7	XBZ	ARY	1	1.A.V 1.R.C 1.Y.V	1.5 1.75 0.8	aru	0	23	
95	Mayangna	14.13	-84.34	maya1285	Misumalpan	BLOOD	a:	aː	7	X	A	2	2.A.V	1.5	aː	1	24	aː - - -
147	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BLOOD	a:was	aː w a s	7 6 7 3	XBYN	AWAS	4	4.A.V 4.W.C 4.A.V 4.S.c	1.5 1.75 1.3 0.8	aːwas	0	24	aː w a s
165	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BLOOD	baxanak	b a x a n a k	1 7 3 7 4 7 1	AXBYBYN	PAGANAK	3	3.P.C 3.A.V 3.G.C 3.A.V 3.N.C 3.A.V 3.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	baxanak	0	25	
166	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BLOW (OF WIND)	won_wiŋka_pubaia	w o n + w i ŋ k a + p u b a i a	6 7 4 9 6 7 4 1 7 9 1 7 1 7 7 7	AXN_AXMBZ_AXBYYZ	WUN_WINKA_PYPAIA	3	3.W.C 3.U.V 3.N.c 3._._ 3.W.C 3.I.V 3.N.c 3.K.C 3.A.V 3._._ 3.P.C 3.Y.V 3.P.C 3.A.V 3.I.V 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.3 0.8	won+wiŋka+pubaia	0	27	
21	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BONE	naman	n a m a n	4 7 4 7 4	AXBYN	NAMAN	1	1.N.C 1.A.V 1.M.C 1.A.V 1.N.c	2.0 1.5 1.75 1.3 0.8	naman	0	28	
73	Mayangna	14.13	-84.34	maya1285	Misumalpan	BONE	wakal	w a k a l	6 7 1 7 5	AXBYN	WAKAL	2	2.W.C 2.A.V 2.K.C 2.A.V 2.L.c	2.0 1.5 1.75 1.3 0.8	wakal	0	29	w a k a l
125	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BONE	wakal	w a k a l	6 7 1 7 5	AXBYN	WAKAL	4	4.W.C 4.A.V 4.K.C 4.A.V 4.L.c	2.0 1.5 1.75 1.3 0.8	wakal	0	29	w a k a l
167	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BONE	won_dusa	w o n + d u s a	6 7 4 9 1 7 3 7	AXN_AXBZ	WUN_TYSA	3	3.W.C 3.U.V 3.N.c 3._._ 3.T.C 3.Y.V 3.S.C 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8	won+dusa	0	30	
