ID,Name,Concepticon_ID,Concepticon_Gloss
1_fire,fire,221,FIRE
4_water,water,948,WATER
6_tongue,tongue,1205,TONGUE
22_ear,ear,1247,EAR
26_house,house,1252,HOUSE
30_tooth,tooth,1380,TOOTH
33_one,one,1493,ONE
43_black,black,163,BLACK
57_good,good,1035,GOOD
63_soil,soil,1228,EARTH (SOIL)
65_red,red,156,RED
75_toeat,to eat,1336,EAT
83_eye,eye,1248,EYE
