ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	COGID	ALIGNMENT
11	Cacaopera	13.74	-88.11	caca1247	Misumalpan	EAT	duri	d u r i	50	
63	Mayangna	14.13	-84.34	maya1285	Misumalpan	EAT	kas	k a s	51	k a s
115	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	EAT	kas	k a s	51	k a s
175	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EAT	piaia	p i a i a	52	
33	Cacaopera	13.74	-88.11	caca1247	Misumalpan	EYE	kunn	k u n	56	k u n ( - ) - - - ( - - - - )
85	Mayangna	14.13	-84.34	maya1285	Misumalpan	EYE	makpa	m a k p a	56	- - - ( - ) m a k ( p a - - )
137	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	EYE	makdaka	m a k d a k a	56	- - - ( - ) m a k ( d a k a )
177	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EYE	won_nakra	w o n + n a k r a	56	w o n ( + ) n a k ( r a - - )
8	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FALL	winwa'jam	w i n w a j a m	57	
60	Mayangna	14.13	-84.34	maya1285	Misumalpan	FALL	buk	b u k	58	
112	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FALL	wauhda	w a u h d a	60	
178	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FALL	kauxaia	k a u x a i a	59	
24	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FAR	ataptika	a t a p t i k a	61	
76	Mayangna	14.13	-84.34	maya1285	Misumalpan	FAR	nai	n a i	64	n a i
128	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FAR	bai	b a i	64	b a i
179	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FAR	laiura	l a i u r a	63	
17	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FIRE	lawali	l a w a l i	65	
69	Mayangna	14.13	-84.34	maya1285	Misumalpan	FIRE	kuh	k u h	66	k u h
121	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FIRE	kuh	k u h	66	k u h
